POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
1806	Skiptvet	1806 SKIPTVET	Postboksar			3015	Skiptvet	Viken	59.47360	11.16148	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:10
1807	Askim	1807 ASKIM	Gate-/veg-adresse	2099		3014	Indre Østfold	Viken	59.5904	11.1746	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:18
1808	Askim	1808 ASKIM	Gate-/veg-adresse	981		3014	Indre Østfold	Viken	59.5965	11.1829	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:18
1809	Askim	1809 ASKIM	Gate-/veg-adresse	2271		3014	Indre Østfold	Viken	59.5851	11.1819	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:18
1811	Askim	1811 ASKIM	Gate-/veg-adresse	1349		3014	Indre Østfold	Viken	59.5794	11.1818	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1812	Askim	1812 ASKIM	Gate-/veg-adresse	1031		3014	Indre Østfold	Viken	59.5936	11.1923	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1813	Askim	1813 ASKIM	Gate-/veg-adresse	1142		3014	Indre Østfold	Viken	59.577	11.1653	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1814	Askim	1814 ASKIM	Gate-/veg-adresse	1334		3014	Indre Østfold	Viken	59.5948	11.1938	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1815	Askim	1815 ASKIM	Gate-/veg-adresse	968		3014	Indre Østfold	Viken	59.5789	11.1311	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1816	Skiptvet	1816 SKIPTVET	Gate-/veg-adresse	3568		3015	Skiptvet	Viken	59.4692	11.1622	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:25
1820	Spydeberg	1820 SPYDEBERG	Gate-/veg-adresse	5256		3014	Indre Østfold	Viken	59.6171	11.0856	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1821	SPYDEBERG	1821 SPYDEBERG	Gate-/veg-adresse			3014	Indre Østfold	Viken	59.6233	11.0856	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1823	Knapstad	1823 KNAPSTAD	Gate-/veg-adresse	1143		3014	Indre Østfold	Viken	59.6255	11.0282	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1825	Tomter	1825 TOMTER	Gate-/veg-adresse	2235		3014	Indre Østfold	Viken	59.6591	10.9949	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1827	Hobøl	1827 HOBØL	Gate-/veg-adresse	1451		3014	Indre Østfold	Viken	59.5587	10.8456	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1828	Hobøl	1828 HOBØL	Postboksar			3014	Indre Østfold	Viken	59.5587	10.8456	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:07
1830	Askim	1830 ASKIM	Gate-/veg-adresse	343		3014	Indre Østfold	Viken	59.5831	11.1633	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1831	Askim	1831 ASKIM	Gate-/veg-adresse	1253		3014	Indre Østfold	Viken	59.5823	11.1525	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1832	Askim	1832 ASKIM	Gate-/veg-adresse	2071		3014	Indre Østfold	Viken	59.5909	11.131	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
